usn,name,name_fr,category,h_psn,root_node.usn,root_node.name_fr,nht_period,egc_tagx.glb500.y2023,egc_tagx.chn500.y2023,egc_tagx.soe.y2023,egc_tagx.plc.y2023,egc_tagx.nht.y2023,egc_tagx.isc100.y2023,egc_tagx.fic500_all.y2023,egc_tagx.fic500_mfg.y2023,egc_tagx.fic100_svc.y2023,h_comments
a16,北京朗思智能科技有限公司,北京朗思智能科技有限公司,ent,i-root,a16,北京朗思智能科技有限公司,"{""2023-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0x,北京扶芳网络科技有限公司,北京扶芳网络科技有限公司,ent,i-root,a0x,北京扶芳网络科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a18,北京立德未来助学公益基金委员会,北京立德未来助学公益基金委员会,org,i-root,a18,北京立德未来助学公益基金委员会,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a0y,北京国遥新天地信息技术有限公司,北京国遥新天地信息技术有限公司,ent,i-root,a0y,北京国遥新天地信息技术有限公司,"{""2008-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a19,北京灵境世界科技有限公司,北京灵境世界科技有限公司,ent,i-root,a19,北京灵境世界科技有限公司,"{""2020-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1a,北京隆道网络科技有限公司,北京隆道网络科技有限公司,ent,i-root,a1a,北京隆道网络科技有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1b,北京明略软件系统有限公司,北京明略软件系统有限公司,ent,i-root,a1b,北京明略软件系统有限公司,"{""2015-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1c,北京荣耀终端有限公司,北京荣耀终端有限公司,ent,at7,at7,荣耀终端有限公司,"{""2023-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,[nht],nf-404,nf-404,nf-404,nf-404,240223：荣耀终端是21-24
a1f,北京市西城区人力公共资源公共服务中心档案管理科,北京市西城区人力公共资源公共服务中心档案管理科,pin,i-root,a1f,北京市西城区人力公共资源公共服务中心档案管理科,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a1g,北京数字政通科技股份有限公司,北京数字政通科技股份有限公司,ent,i-root,a1g,北京数字政通科技股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a1e,北京润尼尔网络科技有限公司,北京润尼尔网络科技有限公司,ent,i-root,a1e,北京润尼尔网络科技有限公司,"{""2014-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1d,北京睿呈时代信息科技有限公司,北京睿呈时代信息科技有限公司,ent,i-root,a1d,北京睿呈时代信息科技有限公司,"{""2010-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1i,北京微聚未来科技有限公司,北京微聚未来科技有限公司,ent,i-root,a1i,北京微聚未来科技有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1k,北京小米移动软件有限公司南京分公司,北京小米移动软件有限公司南京分公司,ent,awc,awb,小米集团,{},[glb],[chn],nf-404,nf-404,[nht],[isc],[fic],[fic],nf-404,
a1l,北京亚控科技发展有限公司,北京亚控科技发展有限公司,ent,i-root,a1l,北京亚控科技发展有限公司,"{""2009-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1m,北京一点网聚信息技术有限公司,北京一点网聚信息技术有限公司,ent,i-root,a1m,北京一点网聚信息技术有限公司,"{""2015-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1n,北京宜通华瑞科技有限公司,北京宜通华瑞科技有限公司,ent,i-root,a1n,北京宜通华瑞科技有限公司,"{""2008-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1o,北京银行股份有限公司无锡梁溪支行,北京银行股份有限公司无锡梁溪支行,ent,ash,ash,北京银行股份有限公司,{},nf-404,[chn],nf-404,[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a1j,北京沃东天骏信息技术有限公司,北京沃东天骏信息技术有限公司,ent,i-root,a1j,北京沃东天骏信息技术有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1p,北京邮电大学,北京邮电大学,pin,i-root,a1p,北京邮电大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a1h,北京外企德科人力资源服务上海有限公司,北京外企德科人力资源服务上海有限公司,ent,axh,axh,北京国际人力资本集团股份有限公司,{},nf-404,nf-404,nf-404,[plc],nf-404,nf-404,nf-404,nf-404,nf-404,
a1r,北京云畅游戏科技股份有限公司,北京云畅游戏科技股份有限公司,ent,i-root,a1r,北京云畅游戏科技股份有限公司,"{""2014-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1q,北京宇信科技集团股份有限公司上海分公司,北京宇信科技集团股份有限公司上海分公司,ent,asg,asg,北京宇信科技集团股份有限公司,{},nf-404,nf-404,nf-404,[plc],[nht],nf-404,nf-404,nf-404,nf-404,
a1s,北京中科航天人才服务有限公司江苏省分公司,北京中科航天人才服务有限公司江苏省分公司,ent,asi,at3,中国航天科技集团有限公司,{},nf-404,nf-404,[soe],nf-404,[nht],nf-404,nf-404,nf-404,nf-404,
a1t,北京中科君微科技有限公司,北京中科君微科技有限公司,ent,i-root,a1t,北京中科君微科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a1w,北京卓越晨星科技有限公司,北京卓越晨星科技有限公司,ent,i-root,a1w,北京卓越晨星科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a1u,北京中科纳泰生物科技有限公司,北京中科纳泰生物科技有限公司,ent,i-root,a1u,北京中科纳泰生物科技有限公司,"{""2016-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1z,倍加洁集团股份有限公司,倍加洁集团股份有限公司,ent,i-root,a1z,倍加洁集团股份有限公司,{},nf-404,nf-404,nf-404,plc,nf-404,nf-404,nf-404,nf-404,nf-404,
a1x,北京字跳网络技术有限公司,北京字跳网络技术有限公司,ent,awi,awi,抖音有限公司,"{""2020-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a1v,北京转转精神科技有限责任公司,北京转转精神科技有限责任公司,ent,i-root,a1v,北京转转精神科技有限责任公司,"{""2019-01-23"":""2022-01-23"",""2023-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a1y,北森云计算有限公司北京分公司,北森云计算有限公司北京分公司,ent,asj,asj,北森云计算有限公司,{},nf-404,nf-404,nf-404,nf-404,[nht],nf-404,nf-404,nf-404,nf-404,
a20,比亚迪股份有限公司,比亚迪股份有限公司,ent,i-root,a20,比亚迪股份有限公司,"{""2008-01-23"":""2014-01-23""}",glb,chn,nf-404,plc,nf-404,nf-404,fic,fic,nf-404,240116：参考FY22-P275
a21,比亚迪汽车工业有限公司,比亚迪汽车工业有限公司,ent,a20,a20,比亚迪股份有限公司,"{""2009-01-23"":""2024-01-23""}",[glb],[chn],nf-404,[plc],nht,nf-404,[fic],[fic],nf-404,
a23,博世创新软件开发无锡有限公司,博世创新软件开发无锡有限公司,ent,av0,av0,博世集团,{},[glb],nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a22,博世创新软件开发（无锡）有限公司,博世创新软件开发（无锡）有限公司,ent,av0,av0,博世集团,{},[glb],nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a27,布里斯托大学,布里斯托大学,[pin],i-root,a27,布里斯托大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a24,博视智能科技有限公司,博视智能科技有限公司,ent,i-root,a24,博视智能科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a29,常熟开关制造有限公司（原常熟开关厂）,常熟开关制造有限公司（原常熟开关厂）,ent,i-root,a29,常熟开关制造有限公司（原常熟开关厂）,"{""2008-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a2a,常州市儿童医院（常州市第六人民医院）,常州市儿童医院（常州市第六人民医院）,pin,i-root,a2a,常州市儿童医院（常州市第六人民医院）,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a26,不鸣科技（杭州）有限公司,不鸣科技（杭州）有限公司,ent,i-root,a26,不鸣科技（杭州）有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a25,博彦科技（上海）有限公司,博彦科技（上海）有限公司,ent,i-root,a25,博彦科技（上海）有限公司,"{""2013-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a28,常德市就业服务中心,常德市就业服务中心,pin,i-root,a28,常德市就业服务中心,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2b,常州市宇旬新材料有限公司,常州市宇旬新材料有限公司,ent,i-root,a2b,常州市宇旬新材料有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2c,常州市钟楼外国语学校,常州市钟楼外国语学校,org,i-root,a2c,常州市钟楼外国语学校,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2e,畅索软件科技（上海）有限公司,畅索软件科技（上海）有限公司,ent,i-root,a2e,畅索软件科技（上海）有限公司,"{""2019-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a2d,常州星宇车灯股份有限公司,常州星宇车灯股份有限公司,ent,i-root,a2d,常州星宇车灯股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a2f,成都鼎桥通信技术有限公司,成都鼎桥通信技术有限公司,ent,i-root,a2f,成都鼎桥通信技术有限公司,"{""2013-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a2g,成都东方财富信息技术有限公司,成都东方财富信息技术有限公司,ent,a33,a33,东方财富信息股份有限公司,{},nf-404,nf-404,nf-404,[plc],[nht],[isc],nf-404,nf-404,nf-404,
a2i,成都国铁电气设备有限公司,成都国铁电气设备有限公司,ent,i-root,a2i,成都国铁电气设备有限公司,"{""2014-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,240224：未找到更多信心关于关联公司。
a2l,成都益行天下信息技术有限公司,成都益行天下信息技术有限公司,ent,i-root,a2l,成都益行天下信息技术有限公司,"{""2020-01-23"":""2023-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a2m,成都育碧电脑软件有限公司,成都育碧电脑软件有限公司,ent,i-root,a2m,成都育碧电脑软件有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2n,成都中科创达软件有限公司,成都中科创达软件有限公司,ent,aw8,aw8,中科创达软件股份有限公司,"{""2015-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,[plc],nht,nf-404,nf-404,nf-404,nf-404,
a2h,成都格斗科技有限公司,成都格斗科技有限公司,ent,i-root,a2h,成都格斗科技有限公司,"{""2016-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a2o,成方金融科技有限公司上海分公司,成方金融科技有限公司上海分公司,ent,ask,ask,成方金融科技有限公司,{},nf-404,nf-404,nf-404,nf-404,[nht],nf-404,nf-404,nf-404,nf-404,
a2q,创想空间信息技术（苏州）有限公司,创想空间信息技术（苏州）有限公司,ent,i-root,a2q,创想空间信息技术（苏州）有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2p,诚通（深圳）投资有限公司,诚通（深圳）投资有限公司,ent,i-root,a2p,诚通（深圳）投资有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2k,成都先知者科技有限公司,成都先知者科技有限公司,ent,i-root,a2k,成都先知者科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a2t,大连华锐重工集团股份有限公司,大连华锐重工集团股份有限公司,ent,i-root,a2t,大连华锐重工集团股份有限公司,"{""2009-01-23"":""2024-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a2u,大连理工大学,大连理工大学,pin,i-root,a2u,大连理工大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2v,大连万像智能科技有限公司,大连万像智能科技有限公司,ent,i-root,a2v,大连万像智能科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2s,大汉软件股份有限公司,大汉软件股份有限公司,ent,i-root,a2s,大汉软件股份有限公司,"{""2010-01-23"":""2019-01-23"",""2020-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a2w,大连中科创达软件有限公司,大连中科创达软件有限公司,ent,aw8,aw8,中科创达软件股份有限公司,"{""2017-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,[plc],nht,nf-404,nf-404,nf-404,nf-404,
a2y,大冶特殊钢有限公司,大冶特殊钢有限公司,ent,avz,bhz,中国中信集团有限公司,"{""2015-01-23"":""2024-01-23""}",[glb],[chn],[soe],[plc],nht,nf-404,nf-404,nf-404,nf-404,
a2x,大唐海口清洁能源发电有限责任公司,大唐海口清洁能源发电有限责任公司,ent,axc,awh,中国大唐集团有限公司,{},[glb],[chn],[soe],nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a30,电子技术大学,电子技术大学,pin,i-root,a30,电子技术大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2z,丹阳大梦想城网络科技有限公司,丹阳大梦想城网络科技有限公司,ent,i-root,a2z,丹阳大梦想城网络科技有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2r,慈溪市社会保险管理服务中心,慈溪市社会保险管理服务中心,pin,i-root,a2r,慈溪市社会保险管理服务中心,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a2j,成都精灵云科技有限公司,成都精灵云科技有限公司,ent,i-root,a2j,成都精灵云科技有限公司,"{""2017-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,nf-404,nht,nf-404,nf-404,nf-404,nf-404,
a31,电子科技大学,电子科技大学,pin,i-root,a31,电子科技大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a34,东方电子股份有限公司,东方电子股份有限公司,ent,i-root,a34,东方电子股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a32,东北大学,东北大学,pin,i-root,a32,东北大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a33,东方财富信息股份有限公司,东方财富信息股份有限公司,ent,i-root,a33,东方财富信息股份有限公司,"{""2010-01-23"":""2025-01-23""}",nf-404,nf-404,nf-404,plc,nht,isc,nf-404,nf-404,nf-404,
a35,东莞软通动力计算机技术有限公司,东莞软通动力计算机技术有限公司,ent,ass,ass,软通动力信息技术（集团）股份有限公司,{},nf-404,nf-404,nf-404,[plc],[nht],nf-404,nf-404,nf-404,nf-404,
a36,东莞市菲煌五金制品有限公司,东莞市菲煌五金制品有限公司,ent,i-root,a36,东莞市菲煌五金制品有限公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a38,东莞市婷龙财税咨询服务有限责任公司,东莞市婷龙财税咨询服务有限责任公司,ent,i-root,a38,东莞市婷龙财税咨询服务有限责任公司,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a3b,东侨经济技术开发区经济发展局,东侨经济技术开发区经济发展局,gpo,i-root,a3b,东侨经济技术开发区经济发展局,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a39,东华大学,东华大学,pin,i-root,a39,东华大学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a3c,东软集团股份有限公司,东软集团股份有限公司,ent,i-root,a3c,东软集团股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf-404,nf-404,nf-404,plc,nht,nf-404,nf-404,nf-404,nf-404,
a3d,东台市富康塑料厂,东台市富康塑料厂,ent,i-root,a3d,东台市富康塑料厂,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
a37,东莞市石排镇独洲小学,东莞市石排镇独洲小学,pin,i-root,a37,东莞市石排镇独洲小学,{},nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,nf-404,
