usn,name,name_fr,category,h_psn,root_node.usn,root_node.name_fr,nht_period,egc_tagx.glb500.y2023
a0o,北京八月影视制作有限公司,北京八月影视制作有限公司,ent,root-node,a0o,北京八月影视制作有限公司,{},nf04
a0p,北京博乐科技有限公司,北京博乐科技有限公司,ent,root-node,a0p,北京博乐科技有限公司,"{""2018-01-23"":""2021-01-23""}",nf04
a0q,北京超波互动网络科技有限公司,北京超波互动网络科技有限公司,ent,root-node,a0q,北京超波互动网络科技有限公司,{},nf04
a0r,北京创思远达科技有限公司,北京创思远达科技有限公司,ent,root-node,a0r,北京创思远达科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
a0l,邦道科技有限公司,邦道科技有限公司,ent,root-node,a0l,邦道科技有限公司,"{""2018-01-23"":""2024-01-23""}",nf04
a0s,北京达佳互联信息技术有限公司,北京达佳互联信息技术有限公司,ent,axk,axk,快手科技,"{""2017-01-23"":""2026-01-23""}",nf04
a0t,北京达佳互联信息技术有限公司杭州分公司,北京达佳互联信息技术有限公司杭州分公司,ent,a0s,axk,快手科技,{},nf04
a0u,北京大学,北京大学,pin,root-node,a0u,北京大学,{},nf04
a0v,北京嘀嘀无限科技发展有限公司,北京嘀嘀无限科技发展有限公司,ent,root-node,a0v,北京嘀嘀无限科技发展有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a0w,北京帝测科技股份有限公司,北京帝测科技股份有限公司,ent,root-node,a0w,北京帝测科技股份有限公司,"{""2011-01-23"":""2026-01-23""}",nf04
a0k,百度在线网络技术（北京）有限公司,百度在线网络技术（北京）有限公司,ent,axm,axm,百度集团股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf04
a0a,爱玛科技集团股份有限公司,爱玛科技集团股份有限公司,ent,root-node,a0a,爱玛科技集团股份有限公司,{},nf04
a10,北京航空航天大学,北京航空航天大学,pin,root-node,a10,北京航空航天大学,{},nf04
a11,北京交通大学,北京交通大学,pin,root-node,a11,北京交通大学,{},nf04
a12,北京京东尚科信息技术有限公司,北京京东尚科信息技术有限公司,ent,a13,auz,京东集团股份有限公司,"{""2013-01-23"":""2025-01-23""}",[glb]
a13,北京京东世纪贸易有限公司,北京京东世纪贸易有限公司,ent,auz,auz,京东集团股份有限公司,{},[glb]
a14,北京凯声文化传媒有限责任公司,北京凯声文化传媒有限责任公司,ent,root-node,a14,北京凯声文化传媒有限责任公司,"{""2018-01-23"":""2024-01-23""}",nf04
a15,北京旷视科技有限公司,北京旷视科技有限公司,ent,root-node,a15,北京旷视科技有限公司,"{""2014-01-23"":""2026-01-23""}",nf04
a0z,北京果仁互动科技有限公司,北京果仁互动科技有限公司,ent,aux,aux,北京贝塔科技有限公司,{},nf04
a17,北京理工大学,北京理工大学,pin,root-node,a17,北京理工大学,{},nf04
a16,北京朗思智能科技有限公司,北京朗思智能科技有限公司,ent,root-node,a16,北京朗思智能科技有限公司,"{""2023-01-23"":""2026-01-23""}",nf04
a0x,北京扶芳网络科技有限公司,北京扶芳网络科技有限公司,ent,root-node,a0x,北京扶芳网络科技有限公司,{},nf04
a18,北京立德未来助学公益基金委员会,北京立德未来助学公益基金委员会,org,root-node,a18,北京立德未来助学公益基金委员会,{},nf04
a0y,北京国遥新天地信息技术有限公司,北京国遥新天地信息技术有限公司,ent,root-node,a0y,北京国遥新天地信息技术有限公司,"{""2008-01-23"":""2026-01-23""}",nf04
a19,北京灵境世界科技有限公司,北京灵境世界科技有限公司,ent,root-node,a19,北京灵境世界科技有限公司,"{""2020-01-23"":""2026-01-23""}",nf04
a1a,北京隆道网络科技有限公司,北京隆道网络科技有限公司,ent,root-node,a1a,北京隆道网络科技有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a1b,北京明略软件系统有限公司,北京明略软件系统有限公司,ent,root-node,a1b,北京明略软件系统有限公司,"{""2015-01-23"":""2024-01-23""}",nf04
a1c,北京荣耀终端有限公司,北京荣耀终端有限公司,ent,at7,at7,荣耀终端有限公司,"{""2023-01-23"":""2026-01-23""}",nf04
a1f,北京市西城区人力公共资源公共服务中心档案管理科,北京市西城区人力公共资源公共服务中心档案管理科,pin,root-node,a1f,北京市西城区人力公共资源公共服务中心档案管理科,{},nf04
a1g,北京数字政通科技股份有限公司,北京数字政通科技股份有限公司,ent,root-node,a1g,北京数字政通科技股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf04
a1e,北京润尼尔网络科技有限公司,北京润尼尔网络科技有限公司,ent,root-node,a1e,北京润尼尔网络科技有限公司,"{""2014-01-23"":""2026-01-23""}",nf04
a1d,北京睿呈时代信息科技有限公司,北京睿呈时代信息科技有限公司,ent,root-node,a1d,北京睿呈时代信息科技有限公司,"{""2010-01-23"":""2025-01-23""}",nf04
a1i,北京微聚未来科技有限公司,北京微聚未来科技有限公司,ent,root-node,a1i,北京微聚未来科技有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a1k,北京小米移动软件有限公司南京分公司,北京小米移动软件有限公司南京分公司,ent,awc,awb,小米集团,{},[glb]
a1l,北京亚控科技发展有限公司,北京亚控科技发展有限公司,ent,root-node,a1l,北京亚控科技发展有限公司,"{""2009-01-23"":""2024-01-23""}",nf04
a1m,北京一点网聚信息技术有限公司,北京一点网聚信息技术有限公司,ent,root-node,a1m,北京一点网聚信息技术有限公司,"{""2015-01-23"":""2024-01-23""}",nf04
a1n,北京宜通华瑞科技有限公司,北京宜通华瑞科技有限公司,ent,root-node,a1n,北京宜通华瑞科技有限公司,"{""2008-01-23"":""2026-01-23""}",nf04
a1o,北京银行股份有限公司无锡梁溪支行,北京银行股份有限公司无锡梁溪支行,ent,ash,ash,北京银行股份有限公司,{},nf04
a1j,北京沃东天骏信息技术有限公司,北京沃东天骏信息技术有限公司,ent,root-node,a1j,北京沃东天骏信息技术有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a1p,北京邮电大学,北京邮电大学,pin,root-node,a1p,北京邮电大学,{},nf04
a1h,北京外企德科人力资源服务上海有限公司,北京外企德科人力资源服务上海有限公司,ent,axh,axh,北京国际人力资本集团股份有限公司,{},nf04
a1r,北京云畅游戏科技股份有限公司,北京云畅游戏科技股份有限公司,ent,root-node,a1r,北京云畅游戏科技股份有限公司,"{""2014-01-23"":""2026-01-23""}",nf04
a1q,北京宇信科技集团股份有限公司上海分公司,北京宇信科技集团股份有限公司上海分公司,ent,asg,asg,北京宇信科技集团股份有限公司,{},nf04
a1s,北京中科航天人才服务有限公司江苏省分公司,北京中科航天人才服务有限公司江苏省分公司,ent,asi,at3,中国航天科技集团有限公司,{},nf04
a1t,北京中科君微科技有限公司,北京中科君微科技有限公司,ent,root-node,a1t,北京中科君微科技有限公司,{},nf04
a1w,北京卓越晨星科技有限公司,北京卓越晨星科技有限公司,ent,root-node,a1w,北京卓越晨星科技有限公司,{},nf04
a1u,北京中科纳泰生物科技有限公司,北京中科纳泰生物科技有限公司,ent,root-node,a1u,北京中科纳泰生物科技有限公司,"{""2016-01-23"":""2025-01-23""}",nf04
a1z,倍加洁集团股份有限公司,倍加洁集团股份有限公司,ent,root-node,a1z,倍加洁集团股份有限公司,{},nf04
a1x,北京字跳网络技术有限公司,北京字跳网络技术有限公司,ent,awi,awi,抖音有限公司,"{""2020-01-23"":""2026-01-23""}",nf04
a1v,北京转转精神科技有限责任公司,北京转转精神科技有限责任公司,ent,root-node,a1v,北京转转精神科技有限责任公司,"{""2019-01-23"":""2022-01-23"",""2023-01-23"":""2026-01-23""}",nf04
a1y,北森云计算有限公司北京分公司,北森云计算有限公司北京分公司,ent,asj,asj,北森云计算有限公司,{},nf04
a20,比亚迪股份有限公司,比亚迪股份有限公司,ent,root-node,a20,比亚迪股份有限公司,"{""2008-01-23"":""2014-01-23""}",glb
a21,比亚迪汽车工业有限公司,比亚迪汽车工业有限公司,ent,a20,a20,比亚迪股份有限公司,"{""2009-01-23"":""2024-01-23""}",[glb]
a23,博世创新软件开发无锡有限公司,博世创新软件开发无锡有限公司,ent,av0,av0,博世集团,{},[glb]
a22,博世创新软件开发（无锡）有限公司,博世创新软件开发（无锡）有限公司,ent,av0,av0,博世集团,{},[glb]
a27,布里斯托大学,布里斯托大学,[pin],root-node,a27,布里斯托大学,{},nf04
a24,博视智能科技有限公司,博视智能科技有限公司,ent,root-node,a24,博视智能科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
a29,常熟开关制造有限公司（原常熟开关厂）,常熟开关制造有限公司（原常熟开关厂）,ent,root-node,a29,常熟开关制造有限公司（原常熟开关厂）,"{""2008-01-23"":""2026-01-23""}",nf04
a2a,常州市儿童医院（常州市第六人民医院）,常州市儿童医院（常州市第六人民医院）,pin,root-node,a2a,常州市儿童医院（常州市第六人民医院）,{},nf04
a26,不鸣科技（杭州）有限公司,不鸣科技（杭州）有限公司,ent,root-node,a26,不鸣科技（杭州）有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a25,博彦科技（上海）有限公司,博彦科技（上海）有限公司,ent,root-node,a25,博彦科技（上海）有限公司,"{""2013-01-23"":""2024-01-23""}",nf04
a28,常德市就业服务中心,常德市就业服务中心,pin,root-node,a28,常德市就业服务中心,{},nf04
a2b,常州市宇旬新材料有限公司,常州市宇旬新材料有限公司,ent,root-node,a2b,常州市宇旬新材料有限公司,{},nf04
a2c,常州市钟楼外国语学校,常州市钟楼外国语学校,org,root-node,a2c,常州市钟楼外国语学校,{},nf04
a2e,畅索软件科技（上海）有限公司,畅索软件科技（上海）有限公司,ent,root-node,a2e,畅索软件科技（上海）有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a2d,常州星宇车灯股份有限公司,常州星宇车灯股份有限公司,ent,root-node,a2d,常州星宇车灯股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf04
a2f,成都鼎桥通信技术有限公司,成都鼎桥通信技术有限公司,ent,root-node,a2f,成都鼎桥通信技术有限公司,"{""2013-01-23"":""2026-01-23""}",nf04
a2g,成都东方财富信息技术有限公司,成都东方财富信息技术有限公司,ent,a33,a33,东方财富信息股份有限公司,{},nf04
a2i,成都国铁电气设备有限公司,成都国铁电气设备有限公司,ent,root-node,a2i,成都国铁电气设备有限公司,"{""2014-01-23"":""2026-01-23""}",nf04
a2l,成都益行天下信息技术有限公司,成都益行天下信息技术有限公司,ent,root-node,a2l,成都益行天下信息技术有限公司,"{""2020-01-23"":""2023-01-23""}",nf04
a2m,成都育碧电脑软件有限公司,成都育碧电脑软件有限公司,ent,root-node,a2m,成都育碧电脑软件有限公司,{},nf04
a2n,成都中科创达软件有限公司,成都中科创达软件有限公司,ent,aw8,aw8,中科创达软件股份有限公司,"{""2015-01-23"":""2024-01-23""}",nf04
a2h,成都格斗科技有限公司,成都格斗科技有限公司,ent,root-node,a2h,成都格斗科技有限公司,"{""2016-01-23"":""2025-01-23""}",nf04
a2o,成方金融科技有限公司上海分公司,成方金融科技有限公司上海分公司,ent,ask,ask,成方金融科技有限公司,{},nf04
a2q,创想空间信息技术（苏州）有限公司,创想空间信息技术（苏州）有限公司,ent,root-node,a2q,创想空间信息技术（苏州）有限公司,{},nf04
a2p,诚通（深圳）投资有限公司,诚通（深圳）投资有限公司,ent,root-node,a2p,诚通（深圳）投资有限公司,{},nf04
a2k,成都先知者科技有限公司,成都先知者科技有限公司,ent,root-node,a2k,成都先知者科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
a2t,大连华锐重工集团股份有限公司,大连华锐重工集团股份有限公司,ent,root-node,a2t,大连华锐重工集团股份有限公司,"{""2009-01-23"":""2024-01-23""}",nf04
a2u,大连理工大学,大连理工大学,pin,root-node,a2u,大连理工大学,{},nf04
a2v,大连万像智能科技有限公司,大连万像智能科技有限公司,ent,root-node,a2v,大连万像智能科技有限公司,{},nf04
a2s,大汉软件股份有限公司,大汉软件股份有限公司,ent,root-node,a2s,大汉软件股份有限公司,"{""2010-01-23"":""2019-01-23"",""2020-01-23"":""2026-01-23""}",nf04
a2w,大连中科创达软件有限公司,大连中科创达软件有限公司,ent,aw8,aw8,中科创达软件股份有限公司,"{""2017-01-23"":""2026-01-23""}",nf04
a2y,大冶特殊钢有限公司,大冶特殊钢有限公司,ent,avz,bhz,中国中信集团有限公司,"{""2015-01-23"":""2024-01-23""}",[glb]
a2x,大唐海口清洁能源发电有限责任公司,大唐海口清洁能源发电有限责任公司,ent,axc,awh,中国大唐集团有限公司,{},[glb]
a30,电子技术大学,电子技术大学,pin,root-node,a30,电子技术大学,{},nf04
a2z,丹阳大梦想城网络科技有限公司,丹阳大梦想城网络科技有限公司,ent,root-node,a2z,丹阳大梦想城网络科技有限公司,{},nf04
a2r,慈溪市社会保险管理服务中心,慈溪市社会保险管理服务中心,pin,root-node,a2r,慈溪市社会保险管理服务中心,{},nf04
a2j,成都精灵云科技有限公司,成都精灵云科技有限公司,ent,root-node,a2j,成都精灵云科技有限公司,"{""2017-01-23"":""2026-01-23""}",nf04
a31,电子科技大学,电子科技大学,pin,root-node,a31,电子科技大学,{},nf04
a34,东方电子股份有限公司,东方电子股份有限公司,ent,root-node,a34,东方电子股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf04
a32,东北大学,东北大学,pin,root-node,a32,东北大学,{},nf04
a33,东方财富信息股份有限公司,东方财富信息股份有限公司,ent,root-node,a33,东方财富信息股份有限公司,"{""2010-01-23"":""2025-01-23""}",nf04
a35,东莞软通动力计算机技术有限公司,东莞软通动力计算机技术有限公司,ent,ass,ass,软通动力信息技术（集团）股份有限公司,{},nf04
a36,东莞市菲煌五金制品有限公司,东莞市菲煌五金制品有限公司,ent,root-node,a36,东莞市菲煌五金制品有限公司,{},nf04
a38,东莞市婷龙财税咨询服务有限责任公司,东莞市婷龙财税咨询服务有限责任公司,ent,root-node,a38,东莞市婷龙财税咨询服务有限责任公司,{},nf04
a3b,东侨经济技术开发区经济发展局,东侨经济技术开发区经济发展局,gpo,root-node,a3b,东侨经济技术开发区经济发展局,{},nf04
a39,东华大学,东华大学,pin,root-node,a39,东华大学,{},nf04
a3c,东软集团股份有限公司,东软集团股份有限公司,ent,root-node,a3c,东软集团股份有限公司,"{""2008-01-23"":""2026-01-23""}",nf04
a3d,东台市富康塑料厂,东台市富康塑料厂,ent,root-node,a3d,东台市富康塑料厂,{},nf04
a37,东莞市石排镇独洲小学,东莞市石排镇独洲小学,pin,root-node,a37,东莞市石排镇独洲小学,{},nf04
a3e,度小满科技（北京）有限公司,度小满科技（北京）有限公司,ent,root-node,a3e,度小满科技（北京）有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a3a,东南大学,东南大学,pin,root-node,a3a,东南大学,{},nf04
a3f,多益网络有限公司,多益网络有限公司,ent,root-node,a3f,多益网络有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a3j,飞腾信息技术有限公司,飞腾信息技术有限公司,ent,at4,at4,中国电子信息产业集团有限公司,"{""2018-01-23"":""2024-01-23""}",[glb]
a3k,斐乐服饰有限公司,斐乐服饰有限公司,ent,root-node,a3k,斐乐服饰有限公司,{},nf04
a3h,帆软软件有限公司,帆软软件有限公司,ent,root-node,a3h,帆软软件有限公司,"{""2020-01-23"":""2023-01-23""}",nf04
a3i,飞书深诺数字科技（上海）股份有限公司,飞书深诺数字科技（上海）股份有限公司,ent,asl,asl,上海飞书深诺数字科技集团股份有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a3n,凤凰县凤缘楼饭店,凤凰县凤缘楼饭店,ent,root-node,a3n,凤凰县凤缘楼饭店,{},nf04
a3m,蜂巢能源科技股份有限公司,蜂巢能源科技股份有限公司,ent,root-node,a3m,蜂巢能源科技股份有限公司,"{""2020-01-23"":""2026-01-23""}",nf04
a3o,福特汽车工程研究（南京）有限公司,福特汽车工程研究（南京）有限公司,ent,axi,axi,福特汽车公司,{},[glb]
a3p,复旦大学,复旦大学,pin,root-node,a3p,复旦大学,{},nf04
a3g,法尔胜泓昇集团有限公司,法尔胜泓昇集团有限公司,ent,root-node,a3g,法尔胜泓昇集团有限公司,{},nf04
a3q,甘肃飞马踏燕物联网科技有限公司,甘肃飞马踏燕物联网科技有限公司,ent,root-node,a3q,甘肃飞马踏燕物联网科技有限公司,{},nf04
a3l,丰城市总工会,丰城市总工会,pin,root-node,a3l,丰城市总工会,{},nf04
a3t,格兰菲智能科技有限公司,格兰菲智能科技有限公司,ent,root-node,a3t,格兰菲智能科技有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
a3u,格灵深瞳(北京)科技发展有限公司,格灵深瞳(北京)科技发展有限公司,ent,root-node,a3u,格灵深瞳(北京)科技发展有限公司,"{""2021-01-23"":""2024-01-23""}",nf04
a3v,公诚管理咨询有限公司,公诚管理咨询有限公司,ent,asm,au7,中国电信集团有限公司,"{""2008-01-23"":""2023-01-23""}",[glb]
a3w,谷斗科技（上海）有限公司,谷斗科技（上海）有限公司,ent,root-node,a3w,谷斗科技（上海）有限公司,"{""2022-01-23"":""2025-01-23""}",nf04
a3r,高邮市档案馆,高邮市档案馆,pin,root-node,a3r,高邮市档案馆,{},nf04
a3x,顾家家居股份有限公司,顾家家居股份有限公司,ent,root-node,a3x,顾家家居股份有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a3z,广东贝导智能科技有限公司,广东贝导智能科技有限公司,ent,root-node,a3z,广东贝导智能科技有限公司,{},nf04
a3y,光线云（杭州）科技有限公司,光线云（杭州）科技有限公司,ent,root-node,a3y,光线云（杭州）科技有限公司,"{""2023-01-23"":""2026-01-23""}",nf04
a3s,格拉斯哥大学,格拉斯哥大学,[pin],root-node,a3s,格拉斯哥大学,{},nf04
a40,广东贝导智能科技有限公司无锡分公司,广东贝导智能科技有限公司无锡分公司,ent,a3z,a3z,广东贝导智能科技有限公司,{},nf04
a43,广联达科技股份有限公司,广联达科技股份有限公司,ent,root-node,a43,广联达科技股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
a42,广东美的制冷设备有限公司,广东美的制冷设备有限公司,ent,b5h,b5h,美的集团股份有限公司,"{""2008-01-23"":""2023-01-23""}",[glb]
a41,广东诚泰交通科技发展有限公司,广东诚泰交通科技发展有限公司,ent,root-node,a41,广东诚泰交通科技发展有限公司,"{""2015-01-23"":""2024-01-23""}",nf04
a45,广西柳工机械股份有限公司,广西柳工机械股份有限公司,ent,root-node,a45,广西柳工机械股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
a47,广州库洛科技有限公司,广州库洛科技有限公司,ent,root-node,a47,广州库洛科技有限公司,"{""2020-01-23"":""2023-01-23""}",nf04
a44,广西大学,广西大学,pin,root-node,a44,广西大学,{},nf04
a48,广州期货交易所股份有限公司,广州期货交易所股份有限公司,ent,root-node,a48,广州期货交易所股份有限公司,{},nf04
a46,广州博冠信息科技有限公司,广州博冠信息科技有限公司,ent,root-node,a46,广州博冠信息科技有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
a4b,广州市百果园信息技术有限公司,广州市百果园信息技术有限公司,ent,root-node,a4b,广州市百果园信息技术有限公司,"{""2018-01-23"":""2024-01-23""}",nf04
a4c,广州市晓星火教育科技有限公司,广州市晓星火教育科技有限公司,ent,root-node,a4c,广州市晓星火教育科技有限公司,{},nf04
a4e,广州小鹏汽车科技有限公司,广州小鹏汽车科技有限公司,ent,bb1,bb1,小鹏汽车有限公司,"{""2019-01-23"":""2025-01-23""}",nf04
a4d,广州天赐高新材料股份有限公司,广州天赐高新材料股份有限公司,ent,root-node,a4d,广州天赐高新材料股份有限公司,"{""2008-01-23"":""2023-01-23""}",nf04
a4g,广州知否科技有限公司,广州知否科技有限公司,ent,root-node,a4g,广州知否科技有限公司,{},nf04
a49,广州三七互娱科技有限公司,广州三七互娱科技有限公司,ent,root-node,a49,广州三七互娱科技有限公司,{},nf04
a4a,广州市百果园网络科技有限公司,广州市百果园网络科技有限公司,ent,root-node,a4a,广州市百果园网络科技有限公司,"{""2016-01-23"":""2025-01-23""}",nf04
a4f,广州昕趣信息技术有限公司,广州昕趣信息技术有限公司,ent,a3f,a3f,多益网络有限公司,{},nf04
a4h,贵州民用航空职业学院有限公司,贵州民用航空职业学院有限公司,org,root-node,a4h,贵州民用航空职业学院有限公司,{},nf04
a4i,国电南瑞科技股份有限公司,国电南瑞科技股份有限公司,ent,av2,atq,国家电网有限公司,"{""2008-01-23"":""2023-01-23""}",[glb]
a4m,国家税务总局安庆市宜秀区税务局,国家税务总局安庆市宜秀区税务局,gpo,aso,aso,国家税务总局,{},nf04
a4n,国家税务总局北京市税务局,国家税务总局北京市税务局,gpo,aso,aso,国家税务总局,{},nf04
a4o,国家税务总局海南省税务局,国家税务总局海南省税务局,gpo,aso,aso,国家税务总局,{},nf04
a4j,国电南瑞南京控制系统有限公司,国电南瑞南京控制系统有限公司,ent,a4i,atq,国家电网有限公司,"{""2008-01-23"":""2023-01-23""}",[glb]
a4p,国家税务总局济南市长清区税务局,国家税务总局济南市长清区税务局,gpo,aso,aso,国家税务总局,{},nf04
a4q,国家税务总局泉州市税务局第三稽查局,国家税务总局泉州市税务局第三稽查局,gpo,aso,aso,国家税务总局,{},nf04
a4s,国家税务总局温泉县税务局,国家税务总局温泉县税务局,gpo,aso,aso,国家税务总局,{},nf04
a4r,国家税务总局桐庐县税务局,国家税务总局桐庐县税务局,gpo,aso,aso,国家税务总局,{},nf04
a4k,国家超级计算无锡中心,国家超级计算无锡中心,pin,root-node,a4k,国家超级计算无锡中心,{},nf04
a4l,国家开发银行宁夏回族自治区分行,国家开发银行宁夏回族自治区分行,ent,asn,asn,国家开发银行,{},nf04
a4t,国家税务总局宜良县税务局,国家税务总局宜良县税务局,gpo,aso,aso,国家税务总局,{},nf04
a4w,国家税务总局扎鲁特旗税务局,国家税务总局扎鲁特旗税务局,gpo,aso,aso,国家税务总局,{},nf04
a4x,国家税务总局镇江市税务局,国家税务总局镇江市税务局,gpo,aso,aso,国家税务总局,{},nf04
a4u,国家税务总局银川市税务局,国家税务总局银川市税务局,gpo,aso,aso,国家税务总局,{},nf04
a50,国网湖北省电力有限公司,国网湖北省电力有限公司,ent,atq,atq,国家电网有限公司,{},[glb]
a4v,国家税务总局虞城县税务局,国家税务总局虞城县税务局,gpo,aso,aso,国家税务总局,{},nf04
a51,国网江苏省电力有限公司淮安供电分公司,国网江苏省电力有限公司淮安供电分公司,ent,atp,atq,国家电网有限公司,{},[glb]
a52,国网江苏省电力有限公司无锡供电分公司,国网江苏省电力有限公司无锡供电分公司,ent,atp,atq,国家电网有限公司,{},[glb]
a53,国网江西省电力有限公司安远县供电分公司,国网江西省电力有限公司安远县供电分公司,ent,atq,atq,国家电网有限公司,{},[glb]
a55,国网山东东营市河口区供电公司,国网山东东营市河口区供电公司,ent,atq,atq,国家电网有限公司,{},[glb]
a54,国网江西省电力有限公司信息通信分公司,国网江西省电力有限公司信息通信分公司,ent,atq,atq,国家电网有限公司,{},[glb]
a56,哈尔滨得豪科技有限公司,哈尔滨得豪科技有限公司,ent,root-node,a56,哈尔滨得豪科技有限公司,{},nf04
a4y,国科大杭州高等研究院,国科大杭州高等研究院,pin,root-node,a4y,国科大杭州高等研究院,{},nf04
a4z,国能智深控制技术有限公司,国能智深控制技术有限公司,ent,axp,axo,国家能源投资集团有限责任公司,"{""2008-01-23"":""2026-01-23""}",[glb]
a57,哈尔滨工程大学,哈尔滨工程大学,pin,root-node,a57,哈尔滨工程大学,{},nf04
a58,哈尔滨工业大学,哈尔滨工业大学,pin,root-node,a58,哈尔滨工业大学,{},nf04
a59,哈尔滨旭光科技开发有限公司,哈尔滨旭光科技开发有限公司,ent,root-node,a59,哈尔滨旭光科技开发有限公司,{},nf04
a5a,海安县思阳通讯器材维修部,海安县思阳通讯器材维修部,ent,root-node,a5a,海安县思阳通讯器材维修部,{},nf04
a5b,海德盟数控技术（深圳）有限公司,海德盟数控技术（深圳）有限公司,ent,root-node,a5b,海德盟数控技术（深圳）有限公司,"{""2017-01-23"":""2023-01-23""}",nf04
a5c,海东市烟草专卖局,海东市烟草专卖局,gpo,asp,asp,国家烟草专卖局,{},nf04
a5e,海宁市海洲雪之绒皮草行,海宁市海洲雪之绒皮草行,ent,root-node,a5e,海宁市海洲雪之绒皮草行,{},nf04
a5d,海隆软件（无锡）有限公司,海隆软件（无锡）有限公司,ent,root-node,a5d,海隆软件（无锡）有限公司,"{""2023-01-23"":""2026-01-23""}",nf04
a5f,海信集团控股股份有限公司,海信集团控股股份有限公司,ent,a5g,a5g,海信集团有限公司,{},nf04
a5h,海乂知信息科技（南京）有限公司上海分公司,海乂知信息科技（南京）有限公司上海分公司,ent,asq,asq,海乂知信息科技（南京）有限公司,{},nf04
a5j,汉海信息技术（上海）有限公司,汉海信息技术（上海）有限公司,ent,root-node,a5j,汉海信息技术（上海）有限公司,"{""2010-01-23"":""2025-01-23""}",nf04
a5k,汉口银行股份有限公司,汉口银行股份有限公司,ent,root-node,a5k,汉口银行股份有限公司,{},nf04
